id	expected	diagnostic
array-shape	success	-
dot-matmul	success	-
labeled-axes	success	-
static-include	success	-
matrix-extraction	success	-
empty-matrices	success	-
matrix-extraction-out-of-bounds	error	shape mismatch: 2 vs 2 elements
matmul-inner-mismatch	error	matmul: expected [2, 3], got [2, 2]
higher-rank-matmul	error	index has 3 components but array has rank 2
web-statement-contract	success	-
systems-row-operations	success	-
systems-zero-division	success	-
systems-nonfinite	success	-
systems-residual	success	-
stable-general-solve	error	unknown function: solve
